('Total Revenue', '416,161,000', '416,161,000', '391,035,000', '383,285,000', '394,328,000')
         994897 function calls (970974 primitive calls) in 2.566 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
      103    0.000    0.000    0.005    0.000 typing.py:753(Union)
      103    0.000    0.000    0.000    0.000 __init__.py:1497(debug)
      102    0.000    0.000    0.000    0.000 threading.py:398(notify)
      102    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
      102    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      100    0.000    0.000    0.000    0.000 threading.py:519(release)
      100    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
      100    0.000    0.000    0.000    0.000 _synchronization.py:298(acquire)
      100    0.000    0.000    0.001    0.000 _synchronization.py:301(release)
      100    0.000    0.000    0.000    0.000 threading.py:472(acquire)
       98    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       97    0.000    0.000    0.000    0.000 dataclasses.py:1111(<genexpr>)
       93    0.000    0.000    0.000    0.000 dataclasses.py:411(<genexpr>)
       93    0.000    0.000    0.000    0.000 dataclasses.py:1172(<genexpr>)
       92    0.000    0.000    0.001    0.000 enum.py:1594(__or__)
       92    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       92    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       89    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       89    0.000    0.000    0.000    0.000 dataclasses.py:288(__init__)
       89    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       89    0.000    0.000    0.000    0.000 dataclasses.py:383(field)
       89    0.000    0.000    0.001    0.000 dataclasses.py:768(_get_field)
       88    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       86    0.000    0.000    0.000    0.000 __init__.py:305(escape)
       86    0.000    0.000    0.000    0.000 typing.py:1757(<genexpr>)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       86    0.000    0.000    0.000    0.000 config.py:45(debug)
